british,american,category,form,to_american_enabled,to_british_enabled,source_refs,notes
accessorise,accessorize,verb,原型,true,true,动词!A2:F2,
accessorised,accessorized,verb,过去分词|过去时,true,true,动词!C2:H2|动词!D2:I2,
accessorises,accessorizes,verb,第三人称单数,true,true,动词!B2:G2,
accessorising,accessorizing,verb,ing,true,true,动词!E2:J2,
actualise,actualize,verb,原型,true,true,动词!A3:F3,
actualised,actualized,verb,过去分词|过去时,true,true,动词!C3:H3|动词!D3:I3,
actualises,actualizes,verb,第三人称单数,true,true,动词!B3:G3,
actualising,actualizing,verb,ing,true,true,动词!E3:J3,
aeon,eon,noun,单数,true,true,名词!A276:C276|名词!A39:C39|名词!A43:C43,
aeonian,eonian,adjective,基本形式,true,true,形容词!A2:B2,
aeons,eons,noun,复数,true,true,名词!B276:D276|名词!B39:D39|名词!B43:D43,
aerial,antenna,noun,单数,true,true,名词!A3:C3,
aerials,antennas,noun,复数,true,true,名词!B3:D3,
aerogramme,aerogram,noun,单数,true,true,名词!A277:C277|名词!A40:C40|名词!A44:C44,
aerogrammes,aerograms,noun,复数,true,true,名词!B277:D277|名词!B40:D40|名词!B44:D44,
aeroplane,airplane,noun,单数,true,true,名词!A2:C2,
aeroplanes,airplanes,noun,复数,true,true,名词!B2:D2,
aesthetes,esthetics,noun,复数,true,false,名词!B110:D110|名词!B343:D343,美式源词存在多个英式目标，已禁用美转英
aesthetic,esthetic,noun,单数,true,false,名词!A278:C278|名词!A41:C41|名词!A45:C45,美式源词存在多个英式目标，已禁用美转英
aesthetics,esthetics,noun,复数,true,false,名词!B278:D278|名词!B41:D41|名词!B45:D45,美式源词存在多个英式目标，已禁用美转英
ageing,aging,adjective|noun,单数|基本形式,true,true,名词!A279:C279|名词!A42:C42|名词!A46:C46|形容词!A3:B3,
ageings,agings,noun,复数,true,true,名词!B279:D279|名词!B42:D42|名词!B46:D46,
aggrandisement,aggrandizement,noun,单数,true,true,名词!A280:C280|名词!A43:C43|名词!A47:C47,
aggrandisements,aggrandizements,noun,复数,true,true,名词!B280:D280|名词!B43:D43|名词!B47:D47,
agonise,agonize,verb,原型,true,true,动词!A4:F4,
agonised,agonized,verb,过去分词|过去时,true,true,动词!C4:H4|动词!D4:I4,
agonises,agonizes,verb,第三人称单数,true,true,动词!B4:G4,
agonising,agonizing,adjective|verb,ing|基本形式,true,true,动词!E4:J4|形容词!A4:B4,
allotment,community garden plot,noun,单数,true,true,名词!A4:C4,
allotments,community garden plots,noun,复数,true,true,名词!B4:D4,
almanack,almanac,noun,单数,true,true,名词!A281:C281|名词!A44:C44|名词!A48:C48,
almanacks,almanacs,noun,复数,true,true,名词!B281:D281|名词!B44:D44|名词!B48:D48,
alphabetise,alphabetize,verb,原型,true,true,动词!A5:F5,
alphabetised,alphabetized,verb,过去分词|过去时,true,true,动词!C5:H5|动词!D5:I5,
alphabetises,alphabetizes,verb,第三人称单数,true,true,动词!B5:G5,
alphabetising,alphabetizing,verb,ing,true,true,动词!E5:J5,
ambulance man,paramedic,noun,单数,true,true,名词!A5:C5,
ambulance men,paramedics,noun,复数,true,true,名词!B5:D5,
american football,football,noun,单数,true,false,名词!A6:C6,美式源词同时是美转英目标，为保证幂等已禁用美转英
american footballs,footballs,noun,复数,true,false,名词!B6:D6,美式源词同时是美转英目标，为保证幂等已禁用美转英
amortisable,amortizable,adjective,基本形式,true,true,形容词!A5:B5,
amortisation,amortization,noun,单数,true,true,名词!A282:C282|名词!A45:C45|名词!A49:C49,
amortisations,amortizations,noun,复数,true,true,名词!B282:D282|名词!B45:D45|名词!B49:D49,
amortise,amortize,verb,原型,true,true,动词!A6:F6,
amortised,amortized,verb,过去分词|过去时,true,true,动词!C6:H6|动词!D6:I6,
amortises,amortizes,verb,第三人称单数,true,true,动词!B6:G6,
amortising,amortizing,verb,ing,true,true,动词!E6:J6,
amphitheatre,amphitheater,noun,单数,true,true,名词!A283:C283|名词!A46:C46|名词!A50:C50,
amphitheatres,amphitheaters,noun,复数,true,true,名词!B283:D283|名词!B46:D46|名词!B50:D50,
anaemia,anemia,noun,单数,true,true,名词!A284:C284|名词!A47:C47|名词!A51:C51,
anaemias,anemias,noun,复数,true,true,名词!B284:D284|名词!B47:D47|名词!B51:D51,
anaemic,anemic,adjective,基本形式,true,true,形容词!A6:B6,
anaesthesia,anesthesia,noun,单数,true,true,名词!A285:C285|名词!A48:C48|名词!A52:C52,
anaesthesias,anesthesias,noun,复数,true,true,名词!B285:D285|名词!B48:D48|名词!B52:D52,
anaesthetic,anesthetic,adjective|noun,单数|基本形式,true,true,名词!A286:C286|名词!A49:C49|名词!A53:C53|形容词!A7:B7,
anaesthetically,anesthetically,adverb,基本形式,true,true,副词!A2:B2,
anaesthetics,anesthetics,noun,复数,true,true,名词!B286:D286|名词!B49:D49|名词!B53:D53,
anaesthetised,anesthetized,adjective,基本形式,true,true,形容词!A8:B8,
anaesthetising,anesthetizing,adjective,基本形式,true,true,形容词!A9:B9,
analogue,analog,adjective|noun,单数|基本形式,true,true,名词!A287:C287|名词!A50:C50|名词!A54:C54|形容词!A10:B10,
analogues,analogs,noun,复数,true,true,名词!B287:D287|名词!B50:D50|名词!B54:D54,
analysable,analyzable,adjective,基本形式,true,true,形容词!A11:B11,
analyse,analyze,verb,原型,true,true,动词!A18:F18|动词!A19:F19,
analysed,analyzed,verb,过去分词|过去时,true,true,动词!C18:H18|动词!C19:H19|动词!D18:I18|动词!D19:I19,
analyses,analyzes,verb,第三人称单数,true,true,动词!B18:G18|动词!B19:G19,
analysing,analyzing,verb,ing,true,true,动词!E18:J18|动词!E19:J19,
anathematise,anathematize,verb,原型,true,true,动词!A8:F8,
anathematised,anathematized,verb,过去分词|过去时,true,true,动词!C8:H8|动词!D8:I8,
anathematises,anathematizes,verb,第三人称单数,true,true,动词!B8:G8,
anathematising,anathematizing,verb,ing,true,true,动词!E8:J8,
anatomise,anatomize,verb,原型,true,true,动词!A7:F7,
anatomised,anatomized,verb,过去分词|过去时,true,true,动词!C7:H7|动词!D7:I7,
anatomises,anatomizes,verb,第三人称单数,true,true,动词!B7:G7,
anatomising,anatomizing,verb,ing,true,true,动词!E7:J7,
anglicisation,anglicization,noun,单数,true,true,名词!A288:C288|名词!A51:C51|名词!A55:C55,
anglicisations,anglicizations,noun,复数,true,true,名词!B288:D288|名词!B51:D51|名词!B55:D55,
anglicise,anglicize,verb,原型,true,true,动词!A10:F10,
anglicised,anglicized,verb,过去分词|过去时,true,true,动词!C10:H10|动词!D10:I10,
anglicises,anglicizes,verb,第三人称单数,true,true,动词!B10:G10,
anglicising,anglicizing,verb,ing,true,true,动词!E10:J10,
animalise,animalize,verb,原型,true,true,动词!A11:F11,
animalised,animalized,verb,过去分词|过去时,true,true,动词!C11:H11|动词!D11:I11,
animalises,animalizes,verb,第三人称单数,true,true,动词!B11:G11,
animalising,animalizing,verb,ing,true,true,动词!E11:J11,
annualisation,annualization,noun,单数,true,true,名词!A289:C289|名词!A52:C52|名词!A56:C56,
annualisations,annualizations,noun,复数,true,true,名词!B289:D289|名词!B52:D52|名词!B56:D56,
annualise,annualize,verb,原型,true,true,动词!A13:F13,
annualised,annualized,verb,过去分词|过去时,true,true,动词!C13:H13|动词!D13:I13,
annualises,annualizes,verb,第三人称单数,true,true,动词!B13:G13,
annualising,annualizing,verb,ing,true,true,动词!E13:J13,
anodise,anodize,verb,原型,true,true,动词!A9:F9,
anodised,anodized,verb,过去分词|过去时,true,true,动词!C9:H9|动词!D9:I9,
anodises,anodizes,verb,第三人称单数,true,true,动词!B9:G9,
anodising,anodizing,verb,ing,true,true,动词!E9:J9,
anonymisation,anonymization,noun,单数,true,true,名词!A53:C53,
anonymise,anonymize,verb,原型,true,true,动词!A12:F12,
anonymised,anonymized,verb,过去分词|过去时,true,true,动词!C12:H12|动词!D12:I12,
anonymises,anonymizes,verb,第三人称单数,true,true,动词!B12:G12,
anonymising,anonymizing,verb,ing,true,true,动词!E12:J12,
anorak,parka,noun,单数,true,true,名词!A7:C7,
anoraks,parkas,noun,复数,true,true,名词!B7:D7,
anticlockwise turns,counterclockwise turns,noun,单数|复数,true,true,名词!A8:C8|名词!B8:D8,
apologise,apologize,verb,原型,true,true,动词!A13:F13|动词!A14:F14,
apologised,apologized,verb,过去分词|过去时,true,true,动词!C13:H13|动词!C14:H14|动词!D13:I13|动词!D14:I14,
apologises,apologizes,verb,第三人称单数,true,true,动词!B13:G13|动词!B14:G14,
apologising,apologizing,verb,ing,true,true,动词!E13:J13|动词!E14:J14,
apostatise,apostatize,verb,原型,true,true,动词!A14:F14|动词!A15:F15,
apostatised,apostatized,verb,过去分词|过去时,true,true,动词!C14:H14|动词!C15:H15|动词!D14:I14|动词!D15:I15,
apostatises,apostatizes,verb,第三人称单数,true,true,动词!B14:G14|动词!B15:G15,
apostatising,apostatizing,verb,ing,true,true,动词!E14:J14|动词!E15:J15,
appendices,appendixes,noun,复数,true,true,名词!B11:D11,
appetise,appetize,verb,原型,true,true,动词!A15:F15|动词!A16:F16,
appetised,appetized,verb,过去分词|过去时,true,true,动词!C15:H15|动词!C16:H16|动词!D15:I15|动词!D16:I16,
appetiser,appetizer,noun,单数,true,false,名词!A290:C290|名词!A54:C54|名词!A57:C57|名词!A9:C9,美式源词存在多个英式目标，已禁用美转英
appetisers,appetizers,noun,复数,true,false,名词!B290:D290|名词!B54:D54|名词!B57:D57|名词!B9:D9,美式源词存在多个英式目标，已禁用美转英
appetises,appetizes,verb,第三人称单数,true,true,动词!B15:G15|动词!B16:G16,
appetising,appetizing,verb,ing,true,true,动词!E15:J15|动词!E16:J16,
appetising dishes,appetizing dishes,noun,单数|复数,true,true,名词!A10:C10|名词!A3:C3|名词!B10:D10|名词!B3:D3,
arbour,arbor,noun,单数,true,true,名词!A291:C291|名词!A55:C55|名词!A58:C58,
arbours,arbors,noun,复数,true,true,名词!B291:D291|名词!B55:D55|名词!B58:D58,
archaeologic,archeologic,adjective,基本形式,true,true,形容词!A13:B13,
archaeological,archeological,adjective,基本形式,true,true,形容词!A12:B12,
archaeozoic,archeozoic,adjective,基本形式,true,true,形容词!A14:B14,
ardour,ardor,noun,单数,true,true,名词!A292:C292|名词!A56:C56|名词!A59:C59,
ardours,ardors,noun,复数,true,true,名词!B292:D292|名词!B56:D56|名词!B59:D59,
armour,armor,noun|verb,单数|原型,true,true,动词!A290:F290|动词!A294:F294|动词!A302:F302|名词!A293:C293|名词!A57:C57|名词!A60:C60,
armoured,armored,verb,过去分词|过去时,true,true,动词!C290:H290|动词!C294:H294|动词!C302:H302|动词!D290:I290|动词!D294:I294|动词!D302:I302,
armouring,armoring,verb,ing,true,true,动词!E290:J290|动词!E294:J294|动词!E302:J302,
armours,armors,noun|verb,复数|第三人称单数,true,true,动词!B290:G290|动词!B294:G294|动词!B302:G302|名词!B293:D293|名词!B57:D57|名词!B60:D60,
aromatise,aromatize,verb,原型,true,true,动词!A16:F16|动词!A17:F17,
aromatised,aromatized,verb,过去分词|过去时,true,true,动词!C16:H16|动词!C17:H17|动词!D16:I16|动词!D17:I17,
aromatises,aromatizes,verb,第三人称单数,true,true,动词!B16:G16|动词!B17:G17,
aromatising,aromatizing,verb,ing,true,true,动词!E16:J16|动词!E17:J17,
artefact,artifact,noun,单数,true,true,名词!A13:C13|名词!A294:C294|名词!A58:C58|名词!A61:C61,
artefacts,artifacts,noun,复数,true,true,名词!B13:D13|名词!B294:D294|名词!B58:D58|名词!B61:D61,
artefactual,artifactual,adjective,基本形式,true,true,形容词!A15:B15,
articulated lorries,semis,noun,复数,true,true,名词!B12:D12,
articulated lorry,semi,noun,单数,true,true,名词!A12:C12,
ashbin,trash can,noun,单数,true,false,名词!A14:C14,美式源词存在多个英式目标，已禁用美转英
ashbins,trash cans,noun,复数,true,false,名词!B14:D14,美式源词存在多个英式目标，已禁用美转英
authorisation,authorization,noun,单数,true,true,名词!A295:C295|名词!A59:C59|名词!A62:C62,
authorisations,authorizations,noun,复数,true,true,名词!B295:D295|名词!B59:D59|名词!B62:D62,
authorise,authorize,verb,原型,true,true,动词!A17:F17|动词!A18:F18,
authorised,authorized,verb,过去分词|过去时,true,true,动词!C17:H17|动词!C18:H18|动词!D17:I17|动词!D18:I18,
authorises,authorizes,verb,第三人称单数,true,true,动词!B17:G17|动词!B18:G18,
authorising,authorizing,verb,ing,true,true,动词!E17:J17|动词!E18:J18,
autumn,fall,noun,单数,true,true,名词!A15:C15|名词!A4:C4,
autumns,falls,noun,复数,true,true,名词!B15:D15|名词!B4:D4,
axe,ax,noun,单数,true,true,名词!A296:C296|名词!A60:C60|名词!A63:C63,
axes,axs,noun,复数,true,true,名词!B296:D296|名词!B60:D60|名词!B63:D63,
balkanise,balkanize,verb,原型,true,true,动词!A20:F20|动词!A21:F21,
balkanised,balkanized,verb,过去分词|过去时,true,true,动词!C20:H20|动词!C21:H21|动词!D20:I20|动词!D21:I21,
balkanises,balkanizes,verb,第三人称单数,true,true,动词!B20:G20|动词!B21:G21,
balkanising,balkanizing,verb,ing,true,true,动词!E20:J20|动词!E21:J21,
bank holiday,public holiday,noun,单数,true,true,名词!A16:C16,
bank holidays,public holidays,noun,复数,true,true,名词!B16:D16,
bannister,banister,noun,单数,true,true,名词!A297:C297|名词!A61:C61|名词!A64:C64,
bannisters,banisters,noun,复数,true,true,名词!B297:D297|名词!B61:D61|名词!B64:D64,
bap,bun,noun,单数,true,true,名词!A17:C17,
baps,buns,noun,复数,true,true,名词!B17:D17,
baptise,baptize,verb,原型,true,true,动词!A19:F19|动词!A20:F20,
baptised,baptized,verb,过去分词|过去时,true,true,动词!C19:H19|动词!C20:H20|动词!D19:I19|动词!D20:I20,
baptises,baptizes,verb,第三人称单数,true,true,动词!B19:G19|动词!B20:G20,
baptising,baptizing,verb,ing,true,true,动词!E19:J19|动词!E20:J20,
baptismalised,baptismalized,adjective,基本形式,true,true,形容词!A16:B16,
barrelled,barreled,verb,过去分词|过去时,true,true,动词!C23:H23|动词!D23:I23,
barrelling,barreling,verb,ing,true,true,动词!E23:J23,
barrister,trial lawyer,noun,单数,true,true,名词!A18:C18,
barristers,trial lawyers,noun,复数,true,true,名词!B18:D18,
bastardise,bastardize,verb,原型,true,true,动词!A21:F21|动词!A22:F22,
bastardised,bastardized,verb,过去分词|过去时,true,true,动词!C21:H21|动词!C22:H22|动词!D21:I21|动词!D22:I22,
bastardises,bastardizes,verb,第三人称单数,true,true,动词!B21:G21|动词!B22:G22,
bastardising,bastardizing,verb,ing,true,true,动词!E21:J21|动词!E22:J22,
beetroot,beet,noun,单数,true,true,名词!A19:C19,
beetroots,beets,noun,复数,true,true,名词!B19:D19,
behaviour,behavior,noun,单数,true,true,名词!A298:C298|名词!A62:C62|名词!A65:C65,
behavioural,behavioral,adjective,基本形式,true,true,形容词!A17:B17,
behaviourist,behaviorist,adjective,基本形式,true,true,形容词!A18:B18,
behaviours,behaviors,noun,复数,true,true,名词!B298:D298|名词!B62:D62|名词!B65:D65,
bejewelled,bejeweled,adjective,基本形式,true,true,形容词!A19:B19,
belabour,belabor,noun,单数,true,true,名词!A299:C299|名词!A63:C63|名词!A66:C66,
belaboured,belabored,adjective,基本形式,true,true,形容词!A20:B20,
belabours,belabors,noun,复数,true,true,名词!B299:D299|名词!B63:D63|名词!B66:D66,
bill,check,noun,单数,true,false,名词!A20:C20,美式源词存在多个英式目标，已禁用美转英
bills,checks,noun,复数,true,false,名词!B20:D20,美式源词存在多个英式目标，已禁用美转英
biro,ballpoint pen,noun,单数,true,true,名词!A21:C21,
biros,ballpoint pens,noun,复数,true,true,名词!B21:D21,
biscuit,cookie,noun,单数,true,true,名词!A22:C22|名词!A5:C5,
biscuits,cookies,noun,复数,true,true,名词!B22:D22|名词!B5:D5,
blackcurrant,currant,noun,单数,true,true,名词!A23:C23,
blackcurrants,currants,noun,复数,true,true,名词!B23:D23,
bonnet,hood,noun,单数,true,true,名词!A24:C24,
bonnets,hoods,noun,复数,true,true,名词!B24:D24,
booking office,ticket office,noun,单数,true,true,名词!A25:C25,
booking offices,ticket offices,noun,复数,true,true,名词!B25:D25,
boot,trunk,noun,单数,true,false,名词!A26:C26,美式源词存在多个英式目标，已禁用美转英
boots,trunks,noun,复数,true,false,名词!B26:D26,美式源词存在多个英式目标，已禁用美转英
botanise,botanize,verb,原型,true,true,动词!A22:F22|动词!A24:F24,
botanised,botanized,verb,过去分词|过去时,true,true,动词!C22:H22|动词!C24:H24|动词!D22:I22|动词!D24:I24,
botanises,botanizes,verb,第三人称单数,true,true,动词!B22:G22|动词!B24:G24,
botanising,botanizing,verb,ing,true,true,动词!E22:J22|动词!E24:J24,
bowdlerise,bowdlerize,verb,原型,true,true,动词!A23:F23|动词!A25:F25,
bowdlerised,bowdlerized,verb,过去分词|过去时,true,true,动词!C23:H23|动词!C25:H25|动词!D23:I23|动词!D25:I25,
bowdlerises,bowdlerizes,verb,第三人称单数,true,true,动词!B23:G23|动词!B25:G25,
bowdlerising,bowdlerizing,verb,ing,true,true,动词!E23:J23|动词!E25:J25,
braces,suspenders,noun,单数|复数,true,true,名词!A27:C27|名词!B27:D27,
breakdown lorries,tow trucks,noun,复数,true,true,名词!B28:D28,
breakdown lorry,tow truck,noun,单数,true,true,名词!A28:C28,
breastpin,brooch,noun,单数,true,true,名词!A29:C29,
breastpins,brooches,noun,复数,true,true,名词!B29:D29,
breathalyse,breathalyze,verb,原型,true,true,动词!A24:F24|动词!A26:F26,
breathalysed,breathalyzed,verb,过去分词|过去时,true,true,动词!C24:H24|动词!C26:H26|动词!D24:I24|动词!D26:I26,
breathalyses,breathalyzes,verb,第三人称单数,true,true,动词!B24:G24|动词!B26:G26,
breathalysing,breathalyzing,adjective|verb,ing|基本形式,true,true,动词!E24:J24|动词!E26:J26|形容词!A21:B21,
briticise,briticize,verb,原型,true,true,动词!A25:F25|动词!A27:F27,
briticised,briticized,verb,过去分词|过去时,true,true,动词!C25:H25|动词!C27:H27|动词!D25:I25|动词!D27:I27,
briticises,briticizes,verb,第三人称单数,true,true,动词!B25:G25|动词!B27:G27,
briticising,briticizing,verb,ing,true,true,动词!E25:J25|动词!E27:J27,
broad bean,fava bean,noun,单数,true,true,名词!A30:C30,
broad beans,fava beans,noun,复数,true,true,名词!B30:D30,
brutalise,brutalize,verb,原型,true,true,动词!A26:F26|动词!A28:F28,
brutalised,brutalized,verb,过去分词|过去时,true,true,动词!C26:H26|动词!C28:H28|动词!D26:I26|动词!D28:I28,
brutalises,brutalizes,verb,第三人称单数,true,true,动词!B26:G26|动词!B28:G28,
brutalising,brutalizing,adjective|verb,ing|基本形式,true,true,动词!E26:J26|动词!E28:J28|形容词!A22:B22,
brutalisingly,brutalizingly,adverb,基本形式,true,true,副词!A3:B3,
building societies,savings and loans,noun,复数,true,true,名词!B31:D31,
building society,savings and loan,noun,单数,true,true,名词!A31:C31,
bungalow,ranch house,noun,单数,true,true,名词!A32:C32,
bungalows,ranch houses,noun,复数,true,true,名词!B32:D32,
bureaucratise,bureaucratize,verb,原型,true,true,动词!A27:F27|动词!A29:F29,
bureaucratised,bureaucratized,verb,过去分词|过去时,true,true,动词!C27:H27|动词!C29:H29|动词!D27:I27|动词!D29:I29,
bureaucratises,bureaucratizes,verb,第三人称单数,true,true,动词!B27:G27|动词!B29:G29,
bureaucratising,bureaucratizing,verb,ing,true,true,动词!E27:J27|动词!E29:J29,
bus conductor,fare collector,noun,单数,true,true,名词!A33:C33,
bus conductors,fare collectors,noun,复数,true,true,名词!B33:D33,
bypass,beltway,noun,单数,true,true,名词!A34:C34,
bypasses,beltways,noun,复数,true,true,名词!B34:D34,
cab rank,taxi stand,noun,单数,true,false,名词!A35:C35,美式源词存在多个英式目标，已禁用美转英
cab ranks,taxi stands,noun,复数,true,false,名词!B35:D35,美式源词存在多个英式目标，已禁用美转英
caesarean,cesarean,adjective,基本形式,true,true,形容词!A23:B23,
café,coffee shop,noun,单数,true,true,名词!A36:C36,
cafés,coffee shops,noun,复数,true,true,名词!B36:D36,
calibre,caliber,adjective|noun,单数|基本形式,true,true,名词!A300:C300|名词!A64:C64|名词!A67:C67|形容词!A24:B24,
calibres,calibers,noun,复数,true,true,名词!B300:D300|名词!B64:D64|名词!B67:D67,
caliper,calliper,noun,单数,true,true,名词!A301:C301|名词!A65:C65|名词!A68:C68,
calipers,callipers,noun,复数,true,true,名词!B301:D301|名词!B65:D65|名词!B68:D68,
canalise,canalize,verb,原型,true,true,动词!A31:F31|动词!A33:F33,
canalised,canalized,verb,过去分词|过去时,true,true,动词!C31:H31|动词!C33:H33|动词!D31:I31|动词!D33:I33,
canalises,canalizes,verb,第三人称单数,true,true,动词!B31:G31|动词!B33:G33,
canalising,canalizing,adjective|verb,ing|基本形式,true,true,动词!E31:J31|动词!E33:J33|形容词!A25:B25,
cancelled,canceled,verb,过去分词|过去时,true,true,动词!C254:H254|动词!C258:H258|动词!C266:H266|动词!D254:I254|动词!D258:I258|动词!D266:I266,
cancelling,canceling,adjective|verb,ing|基本形式,true,true,动词!E254:J254|动词!E258:J258|动词!E266:J266|形容词!A27:B27,
candour,candor,noun,单数,true,true,名词!A302:C302|名词!A66:C66|名词!A69:C69,
candours,candors,noun,复数,true,true,名词!B302:D302|名词!B66:D66|名词!B69:D69,
cannibalise,cannibalize,verb,原型,true,true,动词!A28:F28|动词!A30:F30,
cannibalised,cannibalized,verb,过去分词|过去时,true,true,动词!C28:H28|动词!C30:H30|动词!D28:I28|动词!D30:I30,
cannibalises,cannibalizes,verb,第三人称单数,true,true,动词!B28:G28|动词!B30:G30,
cannibalising,cannibalizing,verb,ing,true,true,动词!E28:J28|动词!E30:J30,
canonise,canonize,verb,原型,true,true,动词!A49:F49|动词!A52:F52,
canonised,canonized,verb,过去分词|过去时,true,true,动词!C49:H49|动词!C52:H52|动词!D49:I49|动词!D52:I52,
canonises,canonizes,verb,第三人称单数,true,true,动词!B49:G49|动词!B52:G52,
